x pos,y pos,z pos,tag,time
262.3959961,302.7770081,39.99309921,0,1
32.59759903,464.6659851,42,1,1
469.1679993,372.7009888,18.64789963,4,1
111.5429993,257.2430115,30,27,1
175.8000031,111.0299988,18,28,1
32.15159988,277.0369873,15,29,1
147.003006,41.71229935,15,16,1
64.47949982,432.526001,12,30,1
119.112999,446.1059875,27,31,1
36.73590088,468.8070068,42,1,2
260.7330017,302.4920044,42,0,2
471.1560059,366.8349915,19.11260033,4,2
111.2009964,258.1440125,33,27,2
175.8000031,111.0299988,18,28,2
31.61720085,277.5710144,15,29,2
147.003006,43.83819962,15,16,2
65.31780243,434.3829956,15,30,2
119.112999,446.1059875,27,31,2
35.90250015,469.2019958,42,1,3
260.7820129,302.3959961,42,0,3
473.1440125,360.3940125,21.04000092,4,3
110.8690033,258.0050049,36,27,3
175.8000031,111.0299988,18,28,3
33.94710159,279.618988,18,29,3
148.1569977,43.07350159,18,16,3
67.31919861,435.92099,18,30,3
117.5800018,446.4890137,30,31,3
39.21110153,471.0150146,42,1,4
262.0559998,302.8240051,42,0,4
471.1560059,356.1229858,22.24020004,4,4
109.3180008,259.0390015,36,27,4
173.6309967,108.512001,24,28,4
30.22380066,278.0239868,18,29,4
146.5700073,44.13150024,18,16,4
67.31919861,435.92099,18,30,4
116.0139999,445.4450073,30,31,4
38.58399963,472.8009949,42,1,5
260.4599915,303.552002,42,0,5
468.9219971,352.45401,21,4,5
109.0029984,263.5310059,39,27,5
173.6309967,110.0920029,24,28,5
32.02669907,280.5840149,21,29,5
146.5700073,44.13150024,18,16,5
68.93640137,437.6289978,24,30,5
113.9899979,446.8619995,33,31,5
39.12620163,474.6749878,42,1,6
261.2860107,303.9570007,42,0,6
465.7460022,347.1600037,21,4,6
108.8010025,263.6919861,36,27,6
174.6849976,111.1460037,24,28,6
30.43849945,282.1719971,21,29,6
147.1999969,47.04240036,21,16,6
71.59750366,440.3540039,30,30,6
113.9899979,448.9400024,33,31,6
226.0200043,254.3439941,22.02400017,2,7
-6.958000183,341.2789917,25.27829933,3,7
462.8900146,342.7999878,23.41419983,4,7
38.79520035,479.4089966,42,1,7
261.1149902,303.9609985,42,0,7
106.9449997,264.5599976,39,27,7
174.6849976,111.1460037,24,28,7
30.43849945,282.7019958,21,29,7
147.1999969,47.04240036,21,16,7
71.59750366,440.3540039,30,30,7
113.0240021,449.8099976,36,31,7
227.2160034,250.0939941,20.67329979,2,8
-6.958000183,340.1690063,23.59129906,3,8
462.0859985,338.7929993,21.79000092,4,8
36.84899902,484.1000061,42,1,8
261.5979919,302.5180054,42,0,8
112.4199982,264.2090149,36,27,8
174.6849976,111.1460037,24,28,8
26.50060081,280.6830139,18,29,8
147.1999969,47.04240036,21,16,8
70.03150177,440.3540039,30,30,8
112.6740036,446.3850098,42,31,8
228.0279999,249.3820038,21.26239967,2,9
-6.958000183,339.8670044,23.94050026,3,9
